date;value
1;1736
2;1829
3;2395
4;3663
5;8695
6;9079
7;10627
8;12456
9;13458
10;18771
11;31930
12;27417
13;25991
14;22769
15;21,775
16;19717
17;11686
18;13048
19;12068
20;13156
21;15077
22;15406
23;16929
24;16151
25;15647
26;17655
27;18607
28;18458
29;14061
30;15623
31;19959
32;18252
33;18671
34;20566
35;24268
36;28926
37;34327
38;36192
39;42034
40;30977
41;35269
42;47054
43;47742
44;44741
45;41725
46;31164
47;27156
48;28572
49;31627
50;31086
51;27437
