date;value;;
1;914;9,137055838;100
2;636;6,356589147;100
3;117;1,166180758;100
4;307;3,073967339;100
5;235;2,353215284;100
6;178;1,781242886;100
7;125;1,246854906;100
8;119;1,192842942;100
9;130;1,304300371;100
10;214;2,138662932;100
11;160;1,6;100
12;128;1,279527559;100
13;425;4,25170068;100
14;246;2,462518449;100
15;597;5,966641395;100
16;200;1,99613651;100
17;171;1,711560045;100
18;-44;-0,44137931;100
19;-42;-0,415627598;100
20;156;1,558152476;100
21;60;0,595890411;100
22;-231;-2,314972425;100
23;30;0,3;100
24;81;0,814223995;100
25;124;1,244437119;100
26;16;0,159888078;100
27;97;0,96777412;100
28;208;2,084980237;100
29;104;1,035717743;100
30;36;0,356869132;100
31;14;0,137911563;100
32;11;0,111766261;100
33;39;0,389205053;100
34;-21;-0,207108732;100
35;-49;-0,488347421;100
36;-28;-0,278693266;100
37;-126;-1,260505646;100
38;103;1,025051793;100
39;-39;-0,390522069;100
40;194;1,940319966;100
41;173;1,733413885;100
