date;value
1;9,137055838
2;6,356589147
3;1,166180758
4;3,073967339
5;2,353215284
6;1,781242886
7;1,246854906
8;1,192842942
9;1,304300371
10;2,138662932
11;1,6
12;1,279527559
13;4,25170068
14;2,462518449
15;5,966641395
16;1,99613651
17;1,711560045
18;-0,44137931
19;-0,415627598
20;1,558152476
21;0,595890411
22;-2,314972425
23;0,3
24;0,814223995
25;1,244437119
26;0,159888078
27;0,96777412
28;2,084980237
29;1,035717743
30;0,356869132
31;0,137911563
32;0,111766261
33;0,389205053
34;-0,207108732
35;-0,488347421
36;-0,278693266
37;-1,260505646
38;1,025051793
39;-0,390522069
40;1,940319966
41;1,733413885
