date;value
1;5722372
2;5872968
3;6028434
4;6183586
5;6331443
6;6467191
7;6585034
8;6685961
9;6779778
10;6880623
11;6996576
12;7139640
13;7302114
14;7449233
15;7533332
16;7524457
17;7404687
18;7196042
19;6957267
20;6770393
21;6693759
22;6749849
23;6919803
24;7170004
25;7447844
26;7714894
27;7960952
28;8198082
29;8435909
30;8691331
31;8975597
32;9289298
33;9623899
34;9970727
35;10317901
36;10656145
37;10982919
38;11298594
39;11600510
40;11886464
41;12155241
42;12405411
43;12637719
44;12856171
45;13066475
46;13273355
47;13477705
48;13679953
49;13883835
50;14093605
51;14312205
52;14541421
53;14780454
54;15026330
55;15274506
56;15521435
57;15766290
58;16009413
59;16249795
60;16486542
61;16718971
62;16946446
