date;value;;
1;110;110;110
2;-113;-3;107
3;0;-3;104
4;-14;-17;87
5;19;2;89
6;5;7;96
7;0;7;103
8;-14;-7;96
9;17;10;106
10;-13;-3;103
11;7;4;107
12;5;9;116
13;-5;4;120
14;2;6;126
15;0;6;132
16;-1;5;137
17;-1;4;141
18;25;29;170
19;0;29;199
20;-28;1;200
21;-12;-11;189
22;64;53;242
23;-46;7;249
24;-12;-5;244
25;20;15;259
26;37;52;311
27;-44;8;319
28;-22;-14;305
29;-21;-35;270
30;61;26;296
31;-20;6;302
32;14;20;322
33;-3;17;339
34;7;24;363
35;22;46;409
36;19;65;474
37;1;66;540
38;26;92;632
39;22;114;746
40;-122;-8;738
41;56;48;786
42;48;96;882
43;-28;68;950
44;10;78;1028
45;-8;70;1098
46;-5;65;1163
47;42;107;1270
48;8;115;1385
49;12;127;1512
50;5;132;1644
51;-263;-131;1513
