date;value;;
1;380;3,8;100
2;361;3,61;100
3;307;3,07;100
4;338;3,38;100
5;359;3,59;100
6;429;4,29;100
7;346;3,46;100
8;264;2,64;100
9;454;4,54;100
10;498;4,98;100
11;357;3,57;100
12;501;5,01;100
13;514;5,14;100
14;582;5,82;100
15;734;7,34;100
16;766;7,66;100
17;1050;10,5;100
18;603;6,03;100
19;934;9,34;100
20;1081;10,81;100
21;1746;17,46;100
22;1779;17,79;100
23;1776;17,76;100
24;1550;15,5;100
25;846;8,46;100
26;917;9,1749;100
27;1167;11,66957;100
28;829;8,28565;100
29;491;4,9137;100
