date;value;;
1;87751066;87751066;87751066
2;-85403736;2347330;90098396
3;72647;2419977;92518373
4;76945;2496922;95015295
5;84511;2581433;97596728
6;88909;2670342;100267070
7;88011;2758353;103025423
8;81800;2840153;105865576
9;74197;2914350;108779926
10;64290;2978640;111758566
11;55973;3034613;114793179
12;52354;3086967;117880146
13;50203;3137170;121017316
14;45207;3182377;124199693
15;40128;3222505;127422198
16;36027;3258532;130680730
17;27678;3286210;133966940
18;24907;3311117;137278057
19;32557;3343674;140621731
20;44439;3388113;144009844
21;49877;3437990;147447834
22;52398;3490388;150938222
23;39625;3530013;154468235
24;11000;3541013;158009248
25;-26908;3514105;161523353
26;-55006;3459099;164982452
27;-67264;3391835;168374287
28;-63366;3328469;171702756
29;-55272;3273197;174975953
30;-40003;3233194;178209147
31;-28943;3204251;181413398
32;-25752;3178499;184591897
33;-30610;3147889;187739786
34;-36491;3111398;190851184
35;-45124;3066274;193917458
36;-49475;3016799;196934257
37;-49825;2966974;199901231
38;-41761;2925213;202826444
39;-27060;2898153;205724597
40;-7579;2890574;208615171
41;8077;2898651;211513822
42;14946;2913597;214427419
43;16774;2930371;217357790
44;21312;2951683;220309473
45;24510;2976193;223285666
46;27609;3003802;226289468
47;24992;3028794;229318262
48;27183;3055977;232374239
49;39539;3095516;235469755
50;55283;3150799;238620554
51;62873;3213672;241834226
52;68090;3281762;245115988
53;53964;3335726;248451714
54;17874;3353600;251805314
55;-30838;3322762;255128076
56;-67581;3255181;258383257
57;-82052;3173129;261556386
58;-78546;3094583;264650969
59;-75003;3019580;267670549
60;-64562;2955018;270625567
61;-56964;2898054;273523621
62;-59887;2838167;276361788
