date;value;;;;;
1;87751066;87751066;87751066;87751066;87751066;87751066
2;-348656934;-260905868;-173154802;-85403736;2347330;90098396
3;519537053;258631185;85476383;72647;2419977;92518373
4;-344103270;-85472085;4298;76945;2496922;95015295
5;85475353;3268;7566;84511;2581433;97596728
6;-6436;-3168;4398;88909;2670342;100267070
7;-2128;-5296;-898;88011;2758353;103025423
8;-17;-5313;-6211;81800;2840153;105865576
9;3921;-1392;-7603;74197;2914350;108779926
10;-912;-2304;-9907;64290;2978640;111758566
11;3894;1590;-8317;55973;3034613;114793179
12;3108;4698;-3619;52354;3086967;117880146
13;-3230;1468;-2151;50203;3137170;121017316
14;-4313;-2845;-4996;45207;3182377;124199693
15;2762;-83;-5079;40128;3222505;127422198
16;1061;978;-4101;36027;3258532;130680730
17;-5226;-4248;-8349;27678;3286210;133966940
18;9826;5578;-2771;24907;3311117;137278057
19;4843;10421;7650;32557;3343674;140621731
20;-6189;4232;11882;44439;3388113;144009844
21;-10676;-6444;5438;49877;3437990;147447834
22;3527;-2917;2521;52398;3490388;150938222
23;-12377;-15294;-12773;39625;3530013;154468235
24;-558;-15852;-28625;11000;3541013;158009248
25;6569;-9283;-37908;-26908;3514105;161523353
26;19093;9810;-28098;-55006;3459099;164982452
27;6030;15840;-12258;-67264;3391835;168374287
28;316;16156;3898;-63366;3328469;171702756
29;-11960;4196;8094;-55272;3273197;174975953
30;2979;7175;15269;-40003;3233194;178209147
31;-11384;-4209;11060;-28943;3204251;181413398
32;-3660;-7869;3191;-25752;3178499;184591897
33;-180;-8049;-4858;-30610;3147889;187739786
34;7026;-1023;-5881;-36491;3111398;190851184
35;-1729;-2752;-8633;-45124;3066274;193917458
36;7034;4282;-4351;-49475;3016799;196934257
37;-281;4001;-350;-49825;2966974;199901231
38;4413;8414;8064;-41761;2925213;202826444
39;-1777;6637;14701;-27060;2898153;205724597
40;-1857;4780;19481;-7579;2890574;208615171
41;-8605;-3825;15656;8077;2898651;211513822
42;-4962;-8787;6869;14946;2913597;214427419
43;3746;-5041;1828;16774;2930371;217357790
44;7751;2710;4538;21312;2951683;220309473
45;-4050;-1340;3198;24510;2976193;223285666
46;1241;-99;3099;27609;3003802;226289468
47;-5617;-5716;-2617;24992;3028794;229318262
48;10524;4808;2191;27183;3055977;232374239
49;5357;10165;12356;39539;3095516;235469755
50;-6777;3388;15744;55283;3150799;238620554
51;-11542;-8154;7590;62873;3213672;241834226
52;5781;-2373;5217;68090;3281762;245115988
53;-16970;-19343;-14126;53964;3335726;248451714
54;-2621;-21964;-36090;17874;3353600;251805314
55;9342;-12622;-48712;-30838;3322762;255128076
56;24591;11969;-36743;-67581;3255181;258383257
57;10303;22272;-14471;-82052;3173129;261556386
58;-4295;17977;3506;-78546;3094583;264650969
59;-17940;37;3543;-75003;3019580;267670549
60;6861;6898;10441;-64562;2955018;270625567
61;-9741;-2843;7598;-56964;2898054;273523621
62;-7678;-10521;-2923;-59887;2838167;276361788
