date;value
1;2120892
2;2170340
3;2221123
4;2273352
5;2327137
6;2382586
7;2439197
8;2496927
9;2556845
10;2620448
11;2688429
12;2762264
13;2840842
14;2919288
15;2990963
16;3051583
17;3098962
18;3135839
19;3168838
20;3207331
21;3258149
22;3323353
23;3401193
24;3489910
25;3586315
26;3687889
27;3794204
28;3905530
29;4020817
30;4138845
31;4258471
32;4379234
33;4500346
34;4619946
35;4735837
36;4846477
37;4951189
38;5050308
39;5144601
40;5235339
41;5323701
42;5409584
43;5493247
44;5576640
45;5662199
46;5751675
47;5846075
48;5944950
49;6046630
50;6148621
51;6249168
52;6347564
53;6444527
54;6541302
55;6639763
56;6741160
57;6845848
58;6953031
59;7061498
60;7169456
61;7275556
62;7379358
