date;value;;
1;2120892;2120892;2120892
2;-2071444;49448;2170340
3;1335;50783;2221123
4;1446;52229;2273352
5;1556;53785;2327137
6;1664;55449;2382586
7;1162;56611;2439197
8;1119;57730;2496927
9;2188;59918;2556845
10;3685;63603;2620448
11;4378;67981;2688429
12;5854;73835;2762264
13;4743;78578;2840842
14;-132;78446;2919288
15;-6771;71675;2990963
16;-11055;60620;3051583
17;-13241;47379;3098962
18;-10502;36877;3135839
19;-3878;32999;3168838
20;5494;38493;3207331
21;12325;50818;3258149
22;14386;65204;3323353
23;12636;77840;3401193
24;10877;88717;3489910
25;7688;96405;3586315
26;5169;101574;3687889
27;4741;106315;3794204
28;5011;111326;3905530
29;3961;115287;4020817
30;2741;118028;4138845
31;1598;119626;4258471
32;1137;120763;4379234
33;349;121112;4500346
34;-1512;119600;4619946
35;-3709;115891;4735837
36;-5251;110640;4846477
37;-5928;104712;4951189
38;-5593;99119;5050308
39;-4826;94293;5144601
40;-3555;90738;5235339
41;-2376;88362;5323701
42;-2479;85883;5409584
43;-2220;83663;5493247
44;-270;83393;5576640
45;2166;85559;5662199
46;3917;89476;5751675
47;4924;94400;5846075
48;4475;98875;5944950
49;2805;101680;6046630
50;311;101991;6148621
51;-1444;100547;6249168
52;-2151;98396;6347564
53;-1433;96963;6444527
54;-188;96775;6541302
55;1686;98461;6639763
56;2936;101397;6741160
57;3291;104688;6845848
58;2495;107183;6953031
59;1284;108467;7061498
60;-509;107958;7169456
61;-1858;106100;7275556
62;-2298;103802;7379358
