date;value
1;8156342
2;8417821
3;8692337
4;8973791
5;9253827
6;9526558
7;9790083
8;10046321
9;10297983
10;10549395
11;10804131
12;11062434
13;11324277
14;11592638
15;11871102
16;12162189
17;12468688
18;12790313
19;13122833
20;13460035
21;13798094
22;14134060
23;14471215
24;14819430
25;15192300
26;15598924
27;16043736
28;16522004
29;17022470
30;17528961
31;18029824
32;18519941
33;19002660
34;19484901
35;19977508
36;20487604
37;21017619
38;21562790
39;22114647
40;22661293
41;23194252
42;23709115
43;24208391
44;24698821
45;25190647
46;25690615
47;26201954
48;26720367
49;27236003
50;27735038
51;28208028
52;28650962
53;29068189
54;29468923
55;29866606
56;30270965
57;30684652
58;31104655
59;31528033
60;31949789
61;32365998
62;32776195
