date;value;;
1;6;0,063182598;100
2;-18;-0,180407722;100
3;11;0,108440268;100
4;311;3,105253656;100
5;-40;-0,402731571;100
6;-11;-0,105485232;100
7;97;0,967969025;100
8;458;4,57556214;100
9;-16;-0,158346529;100
10;-41;-0,409015025;100
11;184;1,843935966;100
12;161;1,613035964;100
13;323;3,231554224;100
14;1056;10,56017574;100
15;1733;17,32898098;100
16;449;4,487722269;100
17;263;2,633711507;100
18;479;4,788224014;100
19;486;4,860064586;100
20;365;3,654467998;100
21;667;6,674919535;100
22;970;9,7;100
23;582;5,81890003;100
24;370;3,704235463;100
25;390;3,897272601;100
26;35;0,346458791;100
27;74;0,737002855;100
28;29;0,290007909;100
29;256;2,556519453;100
30;281;2,813200897;100
31;262;2,617801047;100
32;436;4,358333333;100
33;477;4,7672283;100
34;354;3,536585366;100
35;372;3,724970554;100
36;345;3,450575096;100
37;349;3,488559459;100
38;266;2,662514597;100
39;527;5,270342003;100
40;274;2,744561302;100
41;153;1,534740237;100
42;142;1,416784732;100
43;181;1,807872463;100
44;109;1,089676326;100
45;142;1,421271159;100
46;298;2,975070927;100
47;361;3,609235642;100
48;203;2,027353178;100
49;544;5,440782211;100
50;58;0,583308406;100
51;162;1,622852356;100
52;317;3,174470922;100
53;166;1,663571025;100
54;211;2,105012312;100
55;314;3,142990509;100
56;210;2,104389802;100
57;209;2,090566595;100
58;387;3,871201158;100
59;88;0,884709161;100
60;66;0,662891866;100
61;-114;-1,138702154;100
62;248;2,477102415;100
