date;value;;
1;739;7,389937107;100
2;-15;-0,146412883;100
3;-161;-1,612903227;100
4;-268;-2,682563338;100
5;-46;-0,459418069;100
6;1769;17,69230769;100
7;2549;25,49019608;100
8;83;0,833333332;100
9;238;2,376033058;100
10;-434;-4,339051463;100
11;-401;-4,008438818;100
12;209;2,087912088;100
13;764;7,64262648;100
14;2520;25,2;100
15;2521;25,21166134;100
16;3166;31,65566293;100
17;2238;22,3844017;100
18;-116;-1,156687243;100
19;-604;-6,044706126;100
20;567;5,672295029;100
21;61;0,608153084;100
22;32;0,318444733;100
23;530;5,304740405;100
24;565;5,650083363;100
25;485;4,846311548;100
26;681;6,807566558;100
27;933;9,3254619;100
28;2476;24,76;100
29;1604;16,04280218;100
30;2720;27,19852645;100
31;1763;17,62677503;100
32;3227;32,27203829;100
33;2191;21,9132104;100
34;3183;31,83160687;100
35;2410;24,09878608;100
36;2519;25,1947124;100
37;1628;16,27539664;100
38;2970;29,69723258;100
39;5149;51,48754975;100
40;1840;18,40104337;100
41;-11;-0,109165515;100
42;2110;21,10130538;100
43;5707;57,07451126;100
44;3659;36,58971753;100
45;453;4,534213741;100
46;937;9,368618142;100
47;2000;19,99648734;100
48;3502;35,02459707;100
49;2680;26,79953719;100
50;147;1,472343114;100
51;772;7,718381959;100
52;502;5,021460146;100
53;147;1,467583227;100
54;564;5,643038834;100
55;495;4,953299185;100
56;945;9,454171895;100
57;693;6,928825258;100
58;457;4,572536553;100
59;687;6,872328657;100
60;883;8,825066968;100
