date;value;;;
1;739;739;7,389937107;100
2;-754;-15;-0,146412883;100
3;-146;-161;-1,612903227;100
4;-107;-268;-2,682563338;100
5;222;-46;-0,459418069;100
6;1815;1769;17,69230769;100
7;780;2549;25,49019608;100
8;-2466;83;0,833333332;100
9;155;238;2,376033058;100
10;-672;-434;-4,339051463;100
11;33;-401;-4,008438818;100
12;610;209;2,087912088;100
13;555;764;7,64262648;100
14;1756;2520;25,2;100
15;1;2521;25,21166134;100
16;645;3166;31,65566293;100
17;-928;2238;22,3844017;100
18;-2354;-116;-1,156687243;100
19;-488;-604;-6,044706126;100
20;1171;567;5,672295029;100
21;-506;61;0,608153084;100
22;-29;32;0,318444733;100
23;498;530;5,304740405;100
24;35;565;5,650083363;100
25;-80;485;4,846311548;100
26;196;681;6,807566558;100
27;252;933;9,3254619;100
28;1543;2476;24,76;100
29;-872;1604;16,04280218;100
30;1116;2720;27,19852645;100
31;-957;1763;17,62677503;100
32;1464;3227;32,27203829;100
33;-1036;2191;21,9132104;100
34;992;3183;31,83160687;100
35;-773;2410;24,09878608;100
36;109;2519;25,1947124;100
37;-891;1628;16,27539664;100
38;1342;2970;29,69723258;100
39;2179;5149;51,48754975;100
40;-3309;1840;18,40104337;100
41;-1851;-11;-0,109165515;100
42;2121;2110;21,10130538;100
43;3597;5707;57,07451126;100
44;-2048;3659;36,58971753;100
45;-3206;453;4,534213741;100
46;484;937;9,368618142;100
47;1063;2000;19,99648734;100
48;1502;3502;35,02459707;100
49;-822;2680;26,79953719;100
50;-2533;147;1,472343114;100
51;625;772;7,718381959;100
52;-270;502;5,021460146;100
53;-355;147;1,467583227;100
54;417;564;5,643038834;100
55;-69;495;4,953299185;100
56;450;945;9,454171895;100
57;-252;693;6,928825258;100
58;-236;457;4,572536553;100
59;230;687;6,872328657;100
60;196;883;8,825066968;100
