date;value
1;26269741
2;27161052
3;28077345
4;29012630
5;29958687
6;30909997
7;31864175
8;32823970
9;33795203
10;34786309
11;35803591
12;36849678
13;37923400
14;39022759
15;40144250
16;41285741
17;42446659
18;43629415
19;44838485
20;46079844
21;47357741
22;48672831
23;50023564
24;51408910
25;52827047
26;54275836
27;55755346
28;57263835
29;58794999
30;60340768
31;61895169
32;63454785
33;65020124
34;66593904
35;68180846
36;69784087
37;71401743
38;73030879
39;74672009
40;76325927
41;77991757
42;79672869
43;81365260
44;83051970
45;84710544
46;86326251
47;87888675
48;89405482
49;90901967
50;92414161
51;93966784
52;95570049
53;97212639
54;98871558
55;100513137
56;102113206
57;103663812
58;105172921
59;106651394
60;108116622
61;109581085
62;111046910
