date;value;;
1;415;4,15482178;100
2;160;1,595633005;100
3;580;5,796652201;100
4;563;5,62554937;100
5;818;8,183079057;100
6;256;2,564102564;100
7;540;5,4;100
8;625;6,253953194;100
9;236;2,358806459;100
10;196;1,955510323;100
11;1438;14,38146168;100
12;2140;21,40334354;100
13;820;8,204034135;100
14;1658;16,58003226;100
15;3416;34,16359164;100
16;676;6,761402705;100
17;920;9,199227136;100
18;990;9,898751597;100
19;733;7,334525939;100
20;1753;17,53333333;100
21;1820;18,20051049;100
22;1308;13,08259852;100
23;1022;10,22172714;100
24;1003;10,02935656;100
25;5034;50,33897564;100
26;2310;23,10310718;100
27;115;1,148137777;100
28;407;4,069767442;100
29;1386;13,86006917;100
30;1224;12,24299065;100
31;1218;12,17735221;100
32;1926;19,26145853;100
33;865;8,651003579;100
34;672;6,716311041;100
35;1039;10,38647343;100
36;683;6,83199611;100
37;748;7,476103778;100
38;559;5,590259397;100
39;923;9,234934323;100
40;594;5,939049018;100
41;398;3,977125032;100
42;535;5,345501956;100
43;272;2,722772277;100
44;229;2,289156627;100
45;483;4,829210836;100
46;652;6,516853933;100
47;549;5,485232068;100
48;290;2,9;100
49;826;8,260447036;100
50;422;4,219030521;100
51;379;3,789836348;100
52;472;4,718417047;100
53;303;3,026963911;100
54;258;2,582687661;100
55;360;3,597823439;100
56;67;0,674192537;100
57;125;1,253698801;100
58;285;2,853187726;100
59;531;5,309346616;100
60;239;2,392065344;100
61;239;2,393162393;100
62;393;3,927180221;100
