date;value;
1;211;211
2;16;227
3;12;239
4;53;292
5;97;389
6;20;409
7;48;457
8;54;511
9;64;575
10;102;677
11;101;778
12;54;832
13;12;844
14;-110;734
15;-58;676
16;-32;644
17;-34;610
18;50;660
19;74;734
20;70;804
21;12;816
22;0;816
23;113;929
24;3;932
25;141;1073
26;140;1213
27;113;1326
28;-37;1289
29;-291;998
30;124;1122
31;-49;1073
32;-82;991
33;45;1036
34;12;1048
35;73;1121
36;123;1244
37;208;1452
38;293;1745
39;253;1998
40;-94;1904
41;313;2217
42;234;2451
43;243;2694
44;177;2871
45;89;2960
46;41;3001
47;73;3074
48;49;3123
49;129;3252
50;233;3485
51;-186;3299
