date;value;;
1;211;211;211
2;-195;16;227
3;-4;12;239
4;41;53;292
5;44;97;389
6;-77;20;409
7;28;48;457
8;6;54;511
9;10;64;575
10;38;102;677
11;-1;101;778
12;-47;54;832
13;-42;12;844
14;-122;-110;734
15;52;-58;676
16;26;-32;644
17;-2;-34;610
18;84;50;660
19;24;74;734
20;-4;70;804
21;-58;12;816
22;-12;0;816
23;113;113;929
24;-110;3;932
25;138;141;1073
26;-1;140;1213
27;-27;113;1326
28;-150;-37;1289
29;-254;-291;998
30;415;124;1122
31;-173;-49;1073
32;-33;-82;991
33;127;45;1036
34;-33;12;1048
35;61;73;1121
36;50;123;1244
37;85;208;1452
38;85;293;1745
39;-40;253;1998
40;-347;-94;1904
41;407;313;2217
42;-79;234;2451
43;9;243;2694
44;-66;177;2871
45;-88;89;2960
46;-48;41;3001
47;32;73;3074
48;-24;49;3123
49;80;129;3252
50;104;233;3485
51;-419;-186;3299
