date;value;;;;
1;26269741;26269741;26269741;26269741;26269741
2;-77917912;-51648171;-25378430;891311;27161052
3;77051583;25403412;24982;916293;28077345
4;-25409402;-5990;18992;935285;29012630
5;-2230;-8220;10772;946057;29958687
6;2701;-5519;5253;951310;30909997
7;3134;-2385;2868;954178;31864175
8;5134;2749;5617;959795;32823970
9;3072;5821;11438;971233;33795203
10;2614;8435;19873;991106;34786309
11;-2132;6303;26176;1017282;35803591
12;-3674;2629;28805;1046087;36849678
13;-3799;-1170;27635;1073722;37923400
14;-828;-1998;25637;1099359;39022759
15;-1507;-3505;22132;1121491;40144250
16;1373;-2132;20000;1141491;41285741
17;1559;-573;19427;1160918;42446659
18;2984;2411;21838;1182756;43629415
19;2065;4476;26314;1209070;44838485
20;1499;5975;32289;1241359;46079844
21;-1726;4249;36538;1277897;47357741
22;-3594;655;37193;1315090;48672831
23;-2205;-1550;35643;1350733;50023564
24;520;-1030;34613;1385346;51408910
25;-792;-1822;32791;1418137;52827047
26;-317;-2139;30652;1448789;54275836
27;2208;69;30721;1479510;55755346
28;-1811;-1742;28979;1508489;57263835
29;-4562;-6304;22675;1531164;58794999
30;-1766;-8070;14605;1545769;60340768
31;2097;-5973;8632;1554401;61895169
32;2556;-3417;5215;1559616;63454785
33;3925;508;5723;1565339;65020124
34;2210;2718;8441;1573780;66593904
35;2003;4721;13162;1586942;68180846
36;-1584;3137;16299;1603241;69784087
37;-5021;-1884;14415;1617656;71401743
38;-1051;-2935;11480;1629136;73030879
39;3449;514;11994;1641130;74672009
40;280;794;12788;1653918;76325927
41;-1670;-876;11912;1665830;77991757
42;4246;3370;15282;1681112;79672869
43;-7373;-4003;11279;1692391;81365260
44;-12957;-16960;-5681;1686710;83051970
45;-5495;-22455;-28136;1658574;84710544
46;7724;-14731;-42867;1615707;86326251
47;4315;-10416;-53283;1562424;87888675
48;18082;7666;-45617;1516807;89405482
49;17629;25295;-20322;1496485;90901967
50;10736;36031;15709;1512194;92414161
51;-11311;24720;40429;1552623;93966784
52;-14507;10213;50642;1603265;95570049
53;-21530;-11317;39325;1642590;97212639
54;-11679;-22996;16329;1658919;98871558
55;-10673;-33669;-17340;1641579;100513137
56;9499;-24170;-41510;1600069;102113206
57;16217;-7953;-49463;1550606;103663812
58;15919;7966;-41497;1509109;105172921
59;2895;10861;-30636;1478473;106651394
60;6530;17391;-13245;1465228;108116622
61;-4911;12480;-765;1464463;109581085
62;-10353;2127;1362;1465825;111046910
