date;value
1;211,00
2;227,00
3;239,00
4;292,00
5;389,00
6;409,00
7;457,00
8;511,00
9;575,00
10;677,00
11;778,00
12;832,00
13;844,00
14;734,00
15;676,00
16;644,00
17;610,00
18;660,00
19;734,00
20;804,00
21;816,00
22;816,00
23;929,00
24;932,00
25;1073,00
26;1213,00
27;1326,00
28;1289,00
29;998,00
30;1122,00
31;1073,00
32;991,00
33;1036,00
34;1048,00
35;1121,00
36;1244,00
37;1452,00
38;1745,00
39;1998,00
40;1904,00
41;2217,00
42;2451,00
43;2694,00
44;2871,00
45;2960,00
46;3001,00
47;3074,00
48;3123,00
49;3252,00
50;3485,00
51;3299,00
