date;value;;;
1;1646400;1646400;1646400;1646400
2;-3236800;-1590400;56000;1702400
3;1582200;-8200;47800;1750200
4;5200;-3000;44800;1795000
5;4800;1800;46600;1841600
6;-3100;-1300;45300;1886900
7;3500;2200;47500;1934400
8;-6500;-4300;43200;1977600
9;-4500;-8800;34400;2012000
10;4900;-3900;30500;2042500
11;5407;1507;32007;2074507
12;4879;6386;38393;2112900
13;-5279;1107;39500;2152400
14;-7;1100;40600;2193000
15;-4900;-3800;36800;2229800
16;-200;-4000;32800;2262600
17;1900;-2100;30700;2293300
18;3400;1300;32000;2325300
19;-5000;-3700;28300;2353600
20;5300;1600;29900;2383500
21;-1055;545;30445;2413945
22;87900;88445;118890;2532835
23;-93704;-5259;113631;2646466
24;-73777;-79036;34595;2681061
25;95601;16565;51160;2732221
26;-63989;-47424;3736;2735957
27;41104;-6320;-2584;2733373
28;50320;44000;41416;2774789
29;-14097;29903;71319;2846108
30;-16429;13474;84793;2930901
31;17964;31438;116231;3047132
32;-59718;-28280;87951;3135083
33;35944;7664;95615;3230698
34;-20506;-12842;82773;3313471
35;35646;22804;105577;3419048
36;-22923;-119;105458;3524506
37;40859;40740;146198;3670704
38;-61604;-20864;125334;3796038
39;26705;5841;131175;3927213
40;-105506;-99665;31510;3958723
41;137319;37654;69164;4027887
42;3307;40961;110125;4138012
43;-113148;-72187;37938;4175950
44;-26875;-99062;-61124;4114826
45;212024;112962;51838;4166664
46;-65702;47260;99098;4265762
47;-10755;36505;135603;4401365
48;15126;51631;187234;4588599
49;11932;63563;250797;4839396
50;-166183;-102620;148177;4987573
51;43602;-59018;89159;5076732
52;76815;17797;106956;5183688
53;3996;21793;128749;5312437
54;-63817;-42024;86725;5399162
55;25861;-16163;70562;5469724
56;10879;-5284;65278;5535002
57;12287;7003;72281;5607283
58;-74314;-67311;4970;5612253
59;88764;21453;26423;5638676
60;17017;38470;64893;5703569
61;-121125;-82655;-17762;5685807
62;-131824;-214479;-232241;5453566
