date;value;
1;1646400;1646400
2;56000;1702400
3;47800;1750200
4;44800;1795000
5;46600;1841600
6;45300;1886900
7;47500;1934400
8;43200;1977600
9;34400;2012000
10;30500;2042500
11;32007;2074507
12;38393;2112900
13;39500;2152400
14;40600;2193000
15;36800;2229800
16;32800;2262600
17;30700;2293300
18;32000;2325300
19;28300;2353600
20;29900;2383500
21;30445;2413945
22;118890;2532835
23;113631;2646466
24;34595;2681061
25;51160;2732221
26;3736;2735957
27;-2584;2733373
28;41416;2774789
29;71319;2846108
30;84793;2930901
31;116231;3047132
32;87951;3135083
33;95615;3230698
34;82773;3313471
35;105577;3419048
36;105458;3524506
37;146198;3670704
38;125334;3796038
39;131175;3927213
40;31510;3958723
41;69164;4027887
42;110125;4138012
43;37938;4175950
44;-61124;4114826
45;51838;4166664
46;99098;4265762
47;135603;4401365
48;187234;4588599
49;250797;4839396
50;148177;4987573
51;89159;5076732
52;106956;5183688
53;128749;5312437
54;86725;5399162
55;70562;5469724
56;65278;5535002
57;72281;5607283
58;4970;5612253
59;26423;5638676
60;64893;5703569
61;-17762;5685807
62;-232241;5453566
