date;value;;
1;1646400;1646400;1646400
2;-1590400;56000;1702400
3;-8200;47800;1750200
4;-3000;44800;1795000
5;1800;46600;1841600
6;-1300;45300;1886900
7;2200;47500;1934400
8;-4300;43200;1977600
9;-8800;34400;2012000
10;-3900;30500;2042500
11;1507;32007;2074507
12;6386;38393;2112900
13;1107;39500;2152400
14;1100;40600;2193000
15;-3800;36800;2229800
16;-4000;32800;2262600
17;-2100;30700;2293300
18;1300;32000;2325300
19;-3700;28300;2353600
20;1600;29900;2383500
21;545;30445;2413945
22;88445;118890;2532835
23;-5259;113631;2646466
24;-79036;34595;2681061
25;16565;51160;2732221
26;-47424;3736;2735957
27;-6320;-2584;2733373
28;44000;41416;2774789
29;29903;71319;2846108
30;13474;84793;2930901
31;31438;116231;3047132
32;-28280;87951;3135083
33;7664;95615;3230698
34;-12842;82773;3313471
35;22804;105577;3419048
36;-119;105458;3524506
37;40740;146198;3670704
38;-20864;125334;3796038
39;5841;131175;3927213
40;-99665;31510;3958723
41;37654;69164;4027887
42;40961;110125;4138012
43;-72187;37938;4175950
44;-99062;-61124;4114826
45;112962;51838;4166664
46;47260;99098;4265762
47;36505;135603;4401365
48;51631;187234;4588599
49;63563;250797;4839396
50;-102620;148177;4987573
51;-59018;89159;5076732
52;17797;106956;5183688
53;21793;128749;5312437
54;-42024;86725;5399162
55;-16163;70562;5469724
56;-5284;65278;5535002
57;7003;72281;5607283
58;-67311;4970;5612253
59;21453;26423;5638676
60;38470;64893;5703569
61;-82655;-17762;5685807
62;-214479;-232241;5453566
