date;value;;
1;40;0,4;100
2;42;0,41958042;100
3;221;2,205199629;100
4;173;1,726095844;100
5;18;0,178611297;100
6;201;2,005794517;100
7;334;3,342800961;100
8;66;0,655391121;100
9;-27;-0,27305188;100
10;46;0,463352991;100
11;176;1,761006289;100
12;208;2,080758138;100
13;1964;19,63673058;100
14;2237;22,36842105;100
15;254;2,536531569;100
16;-184;-1,841892982;100
17;316;3,163950144;100
18;487;4,872543813;100
19;408;4,076465375;100
20;853;8,526943194;100
21;818;8,182021968;100
22;392;3,91628678;100
23;120;1,196410768;100
24;260;2,600985222;100
25;48;0,480122911;100
26;-139;-1,385703364;100
27;52;0,523306522;100
28;152;1,523185192;100
29;235;2,345456272;100
30;346;3,460753387;100
31;343;3,425701731;100
32;226;2,263071187;100
33;229;2,289299644;100
34;310;3,100132626;100
35;172;1,720533848;100
36;138;1,383180525;100
37;200;2,003586185;100
38;-27;-0,267502293;100
39;2;0,016709834;100
40;136;1,361623924;100
41;100;0,997197956;100
42;-39;-0,391676867;100
43;51;0,5079053;100
44;166;1,662727199;100
45;43;0,425106277;100
46;96;0,962901778;100
47;210;2,104880036;100
48;663;6,627781774;100
49;60;0,596720257;100
50;282;2,823661349;100
51;525;5,247793398;100
52;458;4,575602704;100
53;236;2,358604154;100
54;103;1,02514803;100
55;-52;-0,522618167;100
56;-53;-0,53226874;100
57;58;0,57626031;100
58;44;0,438620118;100
59;57;0,565260569;100
60;-18;-0,181916667;100
61;230;2,30485959;100
