date;value;;
1;64;64;64
2;-60;4;68
3;-1;3;71
4;-2;1;72
5;3;4;76
6;0;4;80
7;7;11;91
8;4;15;106
9;5;20;126
10;-12;8;134
11;-98;-90;44
12;80;-10;34
13;15;5;39
14;13;18;57
15;10;28;85
16;-34;-6;79
17;8;2;81
18;0;2;83
19;4;6;89
20;0;6;95
21;-6;0;95
22;15;15;110
23;14;29;139
24;14;43;182
25;-4;39;221
26;17;56;277
27;-9;47;324
28;-23;24;348
29;-24;0;348
30;15;15;363
31;12;27;390
32;-12;15;405
33;10;25;430
34;26;51;481
35;64;115;596
36;-24;91;687
37;6;97;784
38;25;122;906
39;121;243;1149
40;-175;68;1217
41;33;101;1318
42;106;207;1525
43;3;210;1735
44;-58;152;1887
45;-9;143;2030
46;-88;55;2085
47;52;107;2192
48;67;174;2366
49;26;200;2566
50;-51;149;2715
51;-78;71;2786
