date;value
1;32670048
2;33666111
3;34683410
4;35721213
5;36780001
6;37858947
7;38958046
8;40072951
9;41193588
10;42307149
11;43404802
12;44484032
13;45548476
14;46603522
15;47657554
16;48718190
17;49785278
18;50861166
19;51959021
20;53095406
21;54281841
22;55522804
23;56814309
24;58148384
25;59512619
26;60896732
27;62293859
28;63701974
29;65120432
30;66550231
31;67988855
32;69436956
33;70883488
34;72300308
35;73651220
36;74910462
37;76068739
38;77133212
39;78115712
40;79035871
41;79910411
42;80742500
43;81534406
44;82301650
45;83062819
46;83832662
47;84617545
48;85419588
49;86243424
50;87092250
51;87967655
52;88871384
53;89801926
54;90752593
55;91713850
56;92677082
57;93640435
58;94600643
59;95545959
60;96462108
61;97338583
