date;value;
1;32670048;32670048
2;996063;33666111
3;1017299;34683410
4;1037803;35721213
5;1058788;36780001
6;1078946;37858947
7;1099099;38958046
8;1114905;40072951
9;1120637;41193588
10;1113561;42307149
11;1097653;43404802
12;1079230;44484032
13;1064444;45548476
14;1055046;46603522
15;1054032;47657554
16;1060636;48718190
17;1067088;49785278
18;1075888;50861166
19;1097855;51959021
20;1136385;53095406
21;1186435;54281841
22;1240963;55522804
23;1291505;56814309
24;1334075;58148384
25;1364235;59512619
26;1384113;60896732
27;1397127;62293859
28;1408115;63701974
29;1418458;65120432
30;1429799;66550231
31;1438624;67988855
32;1448101;69436956
33;1446532;70883488
34;1416820;72300308
35;1350912;73651220
36;1259242;74910462
37;1158277;76068739
38;1064473;77133212
39;982500;78115712
40;920159;79035871
41;874540;79910411
42;832089;80742500
43;791906;81534406
44;767244;82301650
45;761169;83062819
46;769843;83832662
47;784883;84617545
48;802043;85419588
49;823836;86243424
50;848826;87092250
51;875405;87967655
52;903729;88871384
53;930542;89801926
54;950667;90752593
55;961257;91713850
56;963232;92677082
57;963353;93640435
58;960208;94600643
59;945316;95545959
60;916149;96462108
61;876475;97338583
