Date;Zementproduktion;GDP*;Population;Gaspreis*;VPI*
2007;87;92;13679953;0,88422877;2,9
2008;772;114;13883835;1,021189299;15,39
2009;934;-8;14093605;0,780317312;-25,33
2010;789;48;14312205;0,970346876;5,24
2011;790;96;14541421;1,033825694;1,48
2012;980;68;14780454;1,242044239;-2,54
2013;1.060;78;15026330;1,250175948;0,01
2014;1.400;70;15274506;1,249442961;0,91
2015;1.500;65;15521435;1,190331698;-2,63
2016;2.100;107;15766290;0,927370363;1,8
2017;3.400;115;16009413;0,962601339;-0,11
2018;4.900;127;16249795;1,067054853;-0,45
2019;7.870;132;16486542;0,918326584;-0,52
2020;7.900;-131;16718971;0,691408638;1
