date;value;
1;1736;1736
2;93;1829
3;566;2395
4;1268;3663
5;5032;8695
6;384;9079
7;1548;10627
8;1829;12456
9;1002;13458
10;5313;18771
11;13159;31930
12;-4513;27417
13;-1426;25991
14;-3222;22769
15;-994;21775
16;-2058;19717
17;-8031;11686
18;1362;13048
19;-980;12068
20;1088;13156
21;1921;15077
22;329;15406
23;1523;16929
24;-778;16151
25;-504;15647
26;2008;17655
27;952;18607
28;-149;18458
29;-4397;14061
30;1562;15623
31;4336;19959
32;-1707;18252
33;419;18671
34;1895;20566
35;3702;24268
36;4658;28926
37;5401;34327
38;1865;36192
39;5842;42034
40;-11057;30977
41;4292;35269
42;11785;47054
43;688;47742
44;-3001;44741
45;-3016;41725
46;-10561;31164
47;-4008;27156
48;1416;28572
49;3055;31627
50;-541;31086
51;-3649;27437
