date;value;
1;81707;81707
2;3853;85560
3;3924;89484
4;4056;93540
5;4279;97819
6;4571;102390
7;4884;107274
8;5172;112446
9;5451;117897
10;5699;123596
11;5934;129530
12;6142;135672
13;6343;142015
14;6501;148516
15;6553;155069
16;6566;161635
17;6538;168173
18;6544;174717
19;6484;181201
20;6395;187596
21;6284;193880
22;6147;200027
23;6037;206064
24;6009;212073
25;6103;218176
26;6264;224440
27;6477;230917
28;6648;237565
29;6840;244405
30;7051;251456
31;7258;258714
32;7494;266208
33;7680;273888
34;7796;281684
35;7768;289452
36;7660;297112
37;7508;304620
38;7342;311962
39;7173;319135
40;7079;326214
41;6952;333166
42;6871;340037
43;6740;346777
44;6518;353295
45;6139;359434
46;5678;365112
47;5150;370262
48;4705;374967
49;4451;379418
50;4484;383902
51;4732;388634
52;5053;393687
53;5310;398997
54;5417;404414
55;5364;409778
56;5136;414914
57;4877;419791
58;4690;424481
59;4479;428960
60;4336;433296
61;4187;437483
