date;value;;;
1;-80;-79,89443378;-0,798944338;100
2;715;715,0861409;7,150861409;100
3;796;796,0213978;7,960213978;100
4;1481;1480,650354;14,80650354;100
5;401;400,8207021;4,008207021;100
6;-79;-79,19925295;-0,791992529;100
7;-60;-60,06483001;-0,6006483;100
8;21;21,1466568;0,211466568;100
9;94;94,17461178;0,941746118;100
10;432;431,9336774;4,319336774;100
11;662;661,525912;6,61525912;100
12;581;581,0685505;5,810685505;100
13;871;870,8827706;8,708827706;100
14;2410;2409,685193;24,09685193;100
15;-124;-124,1717542;-1,241717542;100
16;400;399,6395281;3,996395281;100
17;548;547,8447496;5,478447496;100
18;293;293,4316093;2,934316093;100
19;294;294,1625095;2,941625095;100
20;386;385,5688614;3,855688614;100
21;122;122,3931955;1,223931955;100
22;302;301,9139751;3,019139751;100
23;291;291,2635574;2,912635574;100
24;246;245,9085154;2,459085154;100
25;194;194,2575008;1,942575008;100
26;294;294,0295143;2,940295143;100
27;292;292,0734776;2,920734776;100
28;20800;20800;208;100
29;10400;10400;104;100
30;3600;3600;36;100
31;1400;1400;14;100
32;1100;1100;11;100
33;3900;3900;39;100
34;-2100;-2100;-21;100
35;-4900;-4900;-49;100
36;-2800;-2800;-28;100
37;-12600;-12600;-126;100
38;10300;10300;103;100
39;-3900;-3900;-39;100
40;19400;19400;194;100
41;17300;17300;173;100
