date;value
1970;1736
1971;1829
1972;2395
1973;3663
1974;8695
1975;9079
1976;10627
1977;12456
1978;13458
1979;18771
1980;31930
1981;27417
1982;25991
1983;22769
1984;21,775
1985;19717,00
1986;11686,00
1987;13048,00
1988;12068,00
1989;13156,00
1990;15077,00
1991;15406,00
1992;16929,00
1993;16151,00
1994;15647,00
1995;17655,00
1996;18607,00
1997;18458,00
1998;14061,00
1999;15623,00
2000;19959,00
2001;18252,00
2002;18671,00
2003;20566,00
2004;24268,00
2005;28926,00
2006;34327,00
2007;36192,00
2008;42034,00
2009;30977,00
2010;35269,00
2011;47054,00
2012;47742,00
2013;44741,00
2014;41725,00
2015;31164,00
2016;27156,00
2017;28572,00
2018;31627,00
2019;31086,00
2020;27437,00
