date;value;;;
1;8156342;8156342;8156342;8156342
2;-16051205;-7894863;261479;8417821
3;7907900;13037;274516;8692337
4;-6099;6938;281454;8973791
5;-8356;-1418;280036;9253827
6;-5887;-7305;272731;9526558
7;-1901;-9206;263525;9790083
8;1919;-7287;256238;10046321
9;2711;-4576;251662;10297983
10;4326;-250;251412;10549395
11;3574;3324;254736;10804131
12;243;3567;258303;11062434
13;-27;3540;261843;11324277
14;2978;6518;268361;11592638
15;3585;10103;278464;11871102
16;2520;12623;291087;12162189
17;2789;15412;306499;12468688
18;-286;15126;321625;12790313
19;-4231;10895;332520;13122833
20;-6213;4682;337202;13460035
21;-3825;857;338059;13798094
22;-2950;-2093;335966;14134060
23;3282;1189;337155;14471215
24;9871;11060;348215;14819430
25;13595;24655;372870;15192300
26;9099;33754;406624;15598924
27;4434;38188;444812;16043736
28;-4732;33456;478268;16522004
29;-11258;22198;500466;17022470
30;-16173;6025;506491;17528961
31;-11653;-5628;500863;18029824
32;-5118;-10746;490117;18519941
33;3348;-7398;482719;19002660
34;6920;-478;482241;19484901
35;10844;10366;492607;19977508
36;7123;17489;510096;20487604
37;2430;19919;530015;21017619
38;-4763;15156;545171;21562790
39;-8470;6686;551857;22114647
40;-11897;-5211;546646;22661293
41;-8476;-13687;532959;23194252
42;-4409;-18096;514863;23709115
43;2509;-15587;499276;24208391
44;6741;-8846;490430;24698821
45;10242;1396;491826;25190647
46;6746;8142;499968;25690615
47;3229;11371;511339;26201954
48;-4297;7074;518413;26720367
49;-9851;-2777;515636;27236003
50;-13824;-16601;499035;27735038
51;-9444;-26045;472990;28208028
52;-4011;-30056;442934;28650962
53;4349;-25707;417227;29068189
54;9214;-16493;400734;29468923
55;13442;-3051;397683;29866606
56;9727;6676;404359;30270965
57;2652;9328;413687;30684652
58;-3012;6316;420003;31104655
59;-2941;3375;423378;31528033
60;-4997;-1622;421756;31949789
61;-3925;-5547;416209;32365998
62;-465;-6012;410197;32776195
