date;value;;;;;
1;21736947;21736947;21736947;21736947;21736947;21736947
2;-86473109;-64736162;-42999215;-21262268;474679;22211626
3;129009004;64272842;21273627;11359;486038;22697664
4;-85543292;-21270450;3177;14536;500574;23198238
5;21271710;1260;4437;18973;519547;23717785
6;-2646;-1386;3051;22024;541571;24259356
7;-679;-2065;986;23010;564581;24823937
8;-395;-2460;-1474;21536;586117;25410054
9;1466;-994;-2468;19068;605185;26015239
10;-178;-1172;-3640;15428;620613;26635852
11;1982;810;-2830;12598;633211;27269063
12;897;1707;-1123;11475;644686;27913749
13;-401;1306;183;11658;656344;28570093
14;-1416;-110;73;11731;668075;29238168
15;532;422;495;12226;680301;29918469
16;-820;-398;97;12323;692624;30611093
17;-1392;-1790;-1693;10630;703254;31314347
18;2000;210;-1483;9147;712401;32026748
19;1759;1969;486;9633;722034;32748782
20;-1507;462;948;10581;732615;33481397
21;-1687;-1225;-277;10304;742919;34224316
22;428;-797;-1074;9230;752149;34976465
23;-1700;-2497;-3571;5659;757808;35734273
24;132;-2365;-5936;-277;757531;36491804
25;773;-1592;-7528;-7805;749726;37241530
26;2756;1164;-6364;-14169;735557;37977087
27;5209;6373;9;-14160;721397;38698484
28;-7753;-1380;-1371;-15531;705866;39404350
29;-6281;-7661;-9032;-24563;681303;40085653
30;5739;-1922;-10954;-35517;645786;40731439
31;6356;4434;-6520;-42037;603749;41335188
32;-4622;-188;-6708;-48745;555004;41890192
33;12131;11943;5235;-43510;511494;42401686
34;3144;15087;20322;-23188;488306;42889992
35;-7098;7989;28311;5123;493429;43383421
36;-16675;-8686;19625;24748;518177;43901598
37;-3259;-11945;7680;32428;550605;44452203
38;-3748;-15693;-8013;24415;575020;45027223
39;8268;-7425;-15438;8977;583997;45611220
40;-256;-7681;-23119;-14142;569855;46181075
41;13710;6029;-17090;-31232;538623;46719698
42;9091;15120;-1970;-33202;505421;47225119
43;-8325;6795;4825;-28377;477044;47702163
44;-13543;-6748;-1923;-30300;446744;48148907
45;7809;1061;-862;-31162;415582;48564489
46;823;1884;1022;-30140;385442;48949931
47;-7090;-5206;-4184;-34324;351118;49301049
48;13026;7820;3636;-30688;320430;49621479
49;6965;14785;18421;-12267;308163;49929642
50;-8378;6407;24828;12561;320724;50250366
51;-14059;-7652;17176;29737;350461;50600827
52;63;-7589;9587;39324;389785;50990612
53;-8016;-15605;-6018;33306;423091;51413703
54;3987;-11618;-17636;15670;438761;51852464
55;3175;-8443;-26079;-10409;428352;52280816
56;16487;8044;-18035;-28444;399908;52680724
57;3002;11046;-6989;-35433;364475;53045199
58;4223;15269;8280;-27153;337322;53382521
59;-7921;7348;15628;-11525;325797;53708318
60;-144;7204;22832;11307;337104;54045422
61;-14075;-6871;15961;27268;364372;54409794
62;-4510;-11381;4580;31848;396220;54806014
