date;value;;
1;8156342;8156342;8156342
2;-7894863;261479;8417821
3;13037;274516;8692337
4;6938;281454;8973791
5;-1418;280036;9253827
6;-7305;272731;9526558
7;-9206;263525;9790083
8;-7287;256238;10046321
9;-4576;251662;10297983
10;-250;251412;10549395
11;3324;254736;10804131
12;3567;258303;11062434
13;3540;261843;11324277
14;6518;268361;11592638
15;10103;278464;11871102
16;12623;291087;12162189
17;15412;306499;12468688
18;15126;321625;12790313
19;10895;332520;13122833
20;4682;337202;13460035
21;857;338059;13798094
22;-2093;335966;14134060
23;1189;337155;14471215
24;11060;348215;14819430
25;24655;372870;15192300
26;33754;406624;15598924
27;38188;444812;16043736
28;33456;478268;16522004
29;22198;500466;17022470
30;6025;506491;17528961
31;-5628;500863;18029824
32;-10746;490117;18519941
33;-7398;482719;19002660
34;-478;482241;19484901
35;10366;492607;19977508
36;17489;510096;20487604
37;19919;530015;21017619
38;15156;545171;21562790
39;6686;551857;22114647
40;-5211;546646;22661293
41;-13687;532959;23194252
42;-18096;514863;23709115
43;-15587;499276;24208391
44;-8846;490430;24698821
45;1396;491826;25190647
46;8142;499968;25690615
47;11371;511339;26201954
48;7074;518413;26720367
49;-2777;515636;27236003
50;-16601;499035;27735038
51;-26045;472990;28208028
52;-30056;442934;28650962
53;-25707;417227;29068189
54;-16493;400734;29468923
55;-3051;397683;29866606
56;6676;404359;30270965
57;9328;413687;30684652
58;6316;420003;31104655
59;3375;423378;31528033
60;-1622;421756;31949789
61;-5547;416209;32365998
62;-6012;410197;32776195
