date;value;
1;8156342;8156342
2;261479;8417821
3;274516;8692337
4;281454;8973791
5;280036;9253827
6;272731;9526558
7;263525;9790083
8;256238;10046321
9;251662;10297983
10;251412;10549395
11;254736;10804131
12;258303;11062434
13;261843;11324277
14;268361;11592638
15;278464;11871102
16;291087;12162189
17;306499;12468688
18;321625;12790313
19;332520;13122833
20;337202;13460035
21;338059;13798094
22;335966;14134060
23;337155;14471215
24;348215;14819430
25;372870;15192300
26;406624;15598924
27;444812;16043736
28;478268;16522004
29;500466;17022470
30;506491;17528961
31;500863;18029824
32;490117;18519941
33;482719;19002660
34;482241;19484901
35;492607;19977508
36;510096;20487604
37;530015;21017619
38;545171;21562790
39;551857;22114647
40;546646;22661293
41;532959;23194252
42;514863;23709115
43;499276;24208391
44;490430;24698821
45;491826;25190647
46;499968;25690615
47;511339;26201954
48;518413;26720367
49;515636;27236003
50;499035;27735038
51;472990;28208028
52;442934;28650962
53;417227;29068189
54;400734;29468923
55;397683;29866606
56;404359;30270965
57;413687;30684652
58;420003;31104655
59;423378;31528033
60;421756;31949789
61;416209;32365998
62;410197;32776195
