date;value
1;21736947
2;22211626
3;22697664
4;23198238
5;23717785
6;24259356
7;24823937
8;25410054
9;26015239
10;26635852
11;27269063
12;27913749
13;28570093
14;29238168
15;29918469
16;30611093
17;31314347
18;32026748
19;32748782
20;33481397
21;34224316
22;34976465
23;35734273
24;36491804
25;37241530
26;37977087
27;38698484
28;39404350
29;40085653
30;40731439
31;41335188
32;41890192
33;42401686
34;42889992
35;43383421
36;43901598
37;44452203
38;45027223
39;45611220
40;46181075
41;46719698
42;47225119
43;47702163
44;48148907
45;48564489
46;48949931
47;49301049
48;49621479
49;49929642
50;50250366
51;50600827
52;50990612
53;51413703
54;51852464
55;52280816
56;52680724
57;53045199
58;53382521
59;53708318
60;54045422
61;54409794
62;54806014
