date;value;;;
1;21736947;21736947;21736947;21736947
2;-42999215;-21262268;474679;22211626
3;21273627;11359;486038;22697664
4;3177;14536;500574;23198238
5;4437;18973;519547;23717785
6;3051;22024;541571;24259356
7;986;23010;564581;24823937
8;-1474;21536;586117;25410054
9;-2468;19068;605185;26015239
10;-3640;15428;620613;26635852
11;-2830;12598;633211;27269063
12;-1123;11475;644686;27913749
13;183;11658;656344;28570093
14;73;11731;668075;29238168
15;495;12226;680301;29918469
16;97;12323;692624;30611093
17;-1693;10630;703254;31314347
18;-1483;9147;712401;32026748
19;486;9633;722034;32748782
20;948;10581;732615;33481397
21;-277;10304;742919;34224316
22;-1074;9230;752149;34976465
23;-3571;5659;757808;35734273
24;-5936;-277;757531;36491804
25;-7528;-7805;749726;37241530
26;-6364;-14169;735557;37977087
27;9;-14160;721397;38698484
28;-1371;-15531;705866;39404350
29;-9032;-24563;681303;40085653
30;-10954;-35517;645786;40731439
31;-6520;-42037;603749;41335188
32;-6708;-48745;555004;41890192
33;5235;-43510;511494;42401686
34;20322;-23188;488306;42889992
35;28311;5123;493429;43383421
36;19625;24748;518177;43901598
37;7680;32428;550605;44452203
38;-8013;24415;575020;45027223
39;-15438;8977;583997;45611220
40;-23119;-14142;569855;46181075
41;-17090;-31232;538623;46719698
42;-1970;-33202;505421;47225119
43;4825;-28377;477044;47702163
44;-1923;-30300;446744;48148907
45;-862;-31162;415582;48564489
46;1022;-30140;385442;48949931
47;-4184;-34324;351118;49301049
48;3636;-30688;320430;49621479
49;18421;-12267;308163;49929642
50;24828;12561;320724;50250366
51;17176;29737;350461;50600827
52;9587;39324;389785;50990612
53;-6018;33306;423091;51413703
54;-17636;15670;438761;51852464
55;-26079;-10409;428352;52280816
56;-18035;-28444;399908;52680724
57;-6989;-35433;364475;53045199
58;8280;-27153;337322;53382521
59;15628;-11525;325797;53708318
60;22832;11307;337104;54045422
61;15961;27268;364372;54409794
62;4580;31848;396220;54806014
