date;value
1;27397208
2;28224186
3;29080945
4;29966873
5;30881136
6;31822656
7;32789129
8;33778804
9;34791418
10;35827089
11;36884525
12;37963280
13;39058594
14;40159581
15;41252320
16;42326307
17;43377270
18;44405903
19;45413082
20;46401750
21;47374463
22;48326269
23;49255889
24;50173922
25;51094870
26;52026901
27;52980105
28;53945872
29;54891520
30;55772169
31;56558196
32;57232471
33;57811025
34;58337773
35;58875275
36;59467272
37;60130190
38;60846588
39;61585103
40;62298569
41;62952639
42;63539190
43;64069093
44;64549867
45;64995303
46;65416189
47;65812540
48;66182064
49;66530980
50;66866834
51;67195032
52;67518379
53;67835969
54;68144519
55;68438748
56;68714519
57;68971313
58;69209817
59;69428454
60;69625581
61;69799978
62;69950844
